Year,Custom,Port,Country,Number Of Vessels -Year,Number Of Vessel (Direct Entrance) -Year,Cargo Loaded -Year,Cargo Unloaded -Year,Number Of Vessels -Jan,Number Of Vessel (Direct Entrance) -Jan,Cargo Loaded -Jan,Cargo Unloaded -Jan,Number Of Vessels -Feb,Number Of Vessel (Direct Entrance) -Feb,Cargo Loaded -Feb,Cargo Unloaded -Feb,Number Of Vessels -Mar,Number Of Vessel (Direct Entrance) -Mar,Cargo Loaded -Mar,Cargo Unloaded -Mar,Number Of Vessels -Apl,Number Of Vessel (Direct Entrance) -Apl,Cargo Loaded -Apl,Cargo Unloaded -Apl,Number Of Vessels -May,Number Of Vessel (Direct Entrance) -May,Cargo Loaded -May,Cargo Unloaded -May,Number Of Vessels -Jun,Number Of Vessel (Direct Entrance) -Jun,Cargo Loaded -Jun,Cargo Unloaded -Jun,Number Of Vessels -Jul,Number Of Vessel (Direct Entrance) -Jul,Cargo Loaded -Jul,Cargo Unloaded -Jul,Number Of Vessels -Aug,Number Of Vessel (Direct Entrance) -Aug,Cargo Loaded -Aug,Cargo Unloaded -Aug,Number Of Vessels -Sep,Number Of Vessel (Direct Entrance) -Sep,Cargo Loaded -Sep,Cargo Unloaded -Sep,Number Of Vessels -Oct,Number Of Vessel (Direct Entrance) -Oct,Cargo Loaded -Oct,Cargo Unloaded -Oct,Number Of Vessels -Nov,Number Of Vessel (Direct Entrance) -Nov,Cargo Loaded -Nov,Cargo Unloaded -Nov,Number Of Vessels -Dec,Number Of Vessel (Direct Entrance) -Dec,Cargo Loaded -Dec,Cargo Unloaded -Dec
2016,2,265,238,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,2,265,304,102,102,0,0,9,9,0,0,8,8,0,0,9,9,0,0,6,6,0,0,9,9,0,0,9,9,0,0,9,9,0,0,8,8,0,0,9,9,0,0,9,9,0,0,8,8,0,0,9,9,0,0
2016,3,321,103,322,322,0,7,31,31,0,1,29,29,0,0,30,30,0,2,26,26,0,0,26,26,0,0,26,26,0,1,26,26,0,0,22,22,0,0,22,22,0,1,23,23,0,0,30,30,0,0,31,31,0,2
2016,3,321,105,341,340,0,39,29,29,0,12,29,29,0,8,31,31,0,15,26,26,0,2,28,28,0,0,28,27,0,0,27,27,0,0,31,31,0,0,28,28,0,0,28,28,0,1,28,28,0,1,28,28,0,0
2016,3,321,106,74,74,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,13,13,0,0,13,13,0,0,12,12,0,0,12,12,0,0,14,14,0,0
2016,3,321,108,155,155,0,0,0,0,0,0,0,0,0,0,4,4,0,0,30,30,0,0,28,28,0,0,30,30,0,0,19,19,0,0,9,9,0,0,9,9,0,0,9,9,0,0,8,8,0,0,9,9,0,0
2016,3,347,100,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
2016,3,347,103,260,260,7,23,22,22,1,3,21,21,1,1,22,22,3,2,21,21,1,3,23,23,0,1,20,20,1,2,22,22,0,3,22,22,0,2,21,21,0,5,23,23,0,1,21,21,0,0,22,22,0,0
2016,3,347,105,598,598,21,61,50,50,8,4,49,49,3,3,49,49,2,8,48,48,1,7,52,52,0,2,48,48,2,3,53,53,1,2,53,53,2,10,50,50,0,6,52,52,1,5,47,47,1,5,47,47,0,6
2016,3,347,106,447,447,83,24,39,39,3,1,40,40,7,0,40,40,8,2,39,39,13,2,41,41,7,5,35,35,3,2,39,39,1,1,37,37,2,1,36,36,4,6,39,39,7,2,30,30,13,1,32,32,15,1
2016,3,347,108,239,238,0,0,19,19,0,0,21,20,0,0,23,23,0,0,21,21,0,0,21,21,0,0,22,22,0,0,22,22,0,0,20,20,0,0,22,22,0,0,21,21,0,0,13,13,0,0,14,14,0,0
2016,3,351,103,155,155,0,0,13,13,0,0,12,12,0,0,13,13,0,0,13,13,0,0,13,13,0,0,12,12,0,0,14,14,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0
2016,3,351,108,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,9,9,0,0,9,9,0,0,9,9,0,0
2016,3,365,103,176,176,0,0,14,14,0,0,12,12,0,0,13,13,0,0,13,13,0,0,13,13,0,0,12,12,0,0,14,14,0,0,13,13,0,0,13,13,0,0,17,17,0,0,22,22,0,0,20,20,0,0
2016,3,365,105,209,209,0,0,18,18,0,0,16,16,0,0,18,18,0,0,17,17,0,0,18,18,0,0,17,17,0,0,18,18,0,0,17,17,0,0,18,18,0,0,17,17,0,0,17,17,0,0,18,18,0,0
2016,3,365,106,285,284,0,0,17,17,0,0,16,16,0,0,21,21,0,0,25,24,0,0,26,26,0,0,24,24,0,0,26,26,0,0,26,26,0,0,26,26,0,0,28,28,0,0,32,32,0,0,18,18,0,0
2016,3,365,108,93,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,13,13,0,0,17,17,0,0,18,18,0,0,17,17,0,0,17,17,0,0
2016,3,376,103,116,116,0,0,14,14,0,0,12,12,0,0,13,13,0,0,13,13,0,0,14,14,0,0,12,12,0,0,14,14,0,0,13,13,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,3,376,105,95,95,0,0,7,7,0,0,9,9,0,0,8,8,0,0,6,6,0,0,9,9,0,0,7,7,0,0,9,9,0,0,7,7,0,0,8,8,0,0,9,9,0,0,7,7,0,0,9,9,0,0
2016,4,404,100,11518,10743,45880,50758,916,859,3717,3599,875,820,2908,3053,935,862,3793,4417,947,883,3800,3812,979,929,3294,3443,973,910,3537,3529,986,920,3676,4126,985,914,3957,4288,958,889,4440,4693,980,916,4310,5066,987,916,4100,5145,997,925,4348,5587
2016,4,404,103,12461,12461,33010,29743,1040,1040,2200,2247,980,980,2334,2158,1044,1044,2608,2652,988,988,2655,2571,1017,1017,2700,2258,985,985,2986,2227,1047,1047,2819,2313,1063,1063,2656,2285,1028,1028,3074,2707,1057,1057,3061,3002,1075,1075,2852,2878,1137,1137,3065,2445
2016,4,404,105,14652,14651,21792,39826,1202,1202,1651,2286,1195,1195,1092,1803,1238,1238,1895,3291,1234,1233,1899,3264,1232,1232,1620,2688,1177,1177,1704,3070,1283,1283,1985,3392,1289,1289,1777,3140,1189,1189,1891,3726,1200,1200,1751,4046,1180,1180,2112,4552,1233,1233,2415,4568
2016,4,404,106,6349,6348,41826,41522,491,491,2688,2851,554,554,2549,2760,570,570,3204,3766,577,576,3316,3238,501,501,3332,3075,502,502,3119,3428,584,584,3135,3107,542,542,3526,3156,527,527,4523,3747,527,527,4382,3987,505,505,3854,4074,469,469,4198,4333
2016,4,404,108,4236,4236,35525,45126,332,332,2470,3536,327,327,2209,2593,367,367,2861,4113,343,343,3011,3738,327,327,2778,3094,337,337,2812,3490,357,357,2825,3706,376,376,3304,3719,340,340,3359,3863,382,382,3320,4143,352,352,3228,4492,396,396,3348,4639
2016,4,404,110,736,736,3129,3303,64,64,159,213,59,59,143,192,62,62,205,284,61,61,258,308,62,62,205,217,60,60,261,240,62,62,257,294,62,62,191,269,60,60,224,274,62,62,278,285,60,60,423,348,62,62,525,379
2016,4,404,111,1100,1099,6115,9433,94,93,466,725,87,87,471,839,93,93,500,847,90,90,448,736,93,93,434,658,90,90,513,668,93,93,494,782,94,94,487,808,90,90,573,787,93,93,552,810,90,90,566,899,93,93,611,874
2016,4,404,112,1825,1825,10275,8304,149,149,773,515,149,149,844,560,158,158,868,761,148,148,892,652,151,151,849,755,146,146,821,623,161,161,861,659,150,150,750,737,145,145,941,680,151,151,874,807,154,154,932,780,163,163,870,775
2016,4,404,113,771,771,2624,5445,61,61,184,439,58,58,165,390,62,62,175,542,60,60,192,423,62,62,209,399,63,63,248,408,66,66,228,427,63,63,238,461,61,61,250,482,67,67,240,460,73,73,264,500,75,75,231,514
2016,4,404,117,1164,1164,3342,1533,85,85,174,120,78,78,169,110,85,85,227,140,81,81,276,128,85,85,242,98,87,87,305,131,114,114,241,131,115,115,227,115,103,103,349,111,112,112,391,147,107,107,377,152,112,112,364,150
2016,4,404,118,518,518,2264,2631,43,43,129,203,39,39,151,158,42,42,115,230,43,43,213,210,44,44,218,193,43,43,253,181,45,45,205,184,46,46,155,230,41,41,160,201,45,45,223,280,43,43,218,278,44,44,224,283
2016,4,404,123,155,155,1156,821,13,13,56,118,12,12,76,67,14,14,103,95,13,13,97,55,13,13,86,45,13,13,108,46,13,13,104,39,12,12,80,52,12,12,99,89,13,13,105,67,13,13,124,81,14,14,118,67
2016,4,404,129,370,370,274,646,33,33,17,24,29,29,16,19,31,31,18,56,30,30,20,54,31,31,19,41,30,30,21,51,31,31,26,68,31,31,23,66,30,30,29,64,31,31,25,66,30,30,26,70,33,33,34,67
2016,4,404,140,68,68,582,651,25,25,196,231,21,21,196,228,22,22,190,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,404,147,368,367,6108,6251,31,31,549,592,29,29,574,620,33,32,503,552,30,30,522,523,31,31,450,445,30,30,473,436,31,31,470,453,31,31,412,475,30,30,494,348,31,31,559,553,30,30,552,606,31,31,550,648
2016,4,404,207,324,324,4514,5487,21,21,252,347,19,19,239,333,27,27,341,414,30,30,369,492,31,31,350,476,30,30,437,464,31,31,456,482,31,31,425,615,30,30,475,538,31,31,472,550,21,21,359,379,22,22,339,397
2016,4,404,209,101,100,3302,6719,9,9,197,489,6,6,228,463,10,9,237,586,8,8,264,414,9,9,231,518,9,9,311,489,9,9,260,548,6,6,219,459,9,9,393,613,9,9,330,758,8,8,257,647,9,9,375,735
2016,4,404,210,257,257,3147,1928,19,19,216,115,18,18,216,127,23,23,263,141,22,22,265,133,24,24,217,147,19,19,220,119,22,22,226,135,22,22,219,179,26,26,335,243,27,27,417,229,17,17,288,196,18,18,265,164
2016,4,404,213,316,316,2697,2688,19,19,164,126,21,21,198,222,23,23,201,171,30,30,232,247,31,31,277,211,30,30,262,252,31,31,275,248,31,31,240,296,30,30,278,294,31,31,259,289,19,19,163,176,20,20,148,156
2016,4,404,222,321,321,3442,3726,22,22,233,272,21,21,253,283,23,23,271,240,30,30,366,398,31,31,310,378,30,30,331,346,31,31,337,323,31,31,263,322,30,30,311,333,31,31,358,324,21,21,229,277,20,20,180,230
2016,4,404,224,2,2,27,0,0,0,0,0,1,1,27,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,404,234,313,313,1541,1995,20,20,110,109,19,19,109,147,28,28,139,208,30,30,128,173,31,31,107,145,29,29,155,176,30,30,119,186,31,31,155,169,30,30,174,214,30,30,131,211,17,17,117,117,18,18,97,140
2016,4,404,246,1,1,0,59,0,0,0,0,1,1,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,404,302,134,134,704,487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,46,15,23,23,153,111,27,27,143,169,28,28,110,78,25,25,123,64,24,24,129,50,0,0,0,0,0,0,0,0
2016,4,404,304,5961,5214,103042,103574,483,435,8627,7988,423,381,6355,6033,499,443,9329,8813,503,428,9031,8427,519,441,8736,8410,514,436,8766,9052,520,444,8289,8637,529,452,8113,8569,512,439,8591,9030,501,447,8746,9397,480,436,9317,9621,478,432,9142,9597
2016,4,404,314,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,404,501,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,404,506,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,4,0,0
2016,4,404,601,256,256,139,116,22,22,12,7,21,21,11,8,22,22,16,11,21,21,13,8,19,19,4,7,17,17,6,21,19,19,14,7,25,25,13,9,21,21,9,4,22,22,22,5,20,20,11,4,27,27,8,25
2016,4,404,606,25,25,222,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,117,95,13,13,105,132
2016,4,404,618,112,112,0,133,13,13,0,24,11,11,0,11,9,9,0,2,8,8,0,19,9,9,0,10,9,9,0,12,8,8,0,12,10,10,0,13,8,8,0,7,9,9,0,10,8,8,0,10,10,10,0,3
2016,4,443,103,141,141,0,8,13,13,0,0,12,12,0,1,13,13,0,3,13,13,0,0,14,14,0,1,12,12,0,0,14,14,0,1,13,13,0,0,13,13,0,2,13,13,0,0,11,11,0,0,0,0,0,0
2016,4,443,105,199,199,0,0,15,15,0,0,16,16,0,0,18,18,0,0,18,18,0,0,17,17,0,0,15,15,0,0,17,17,0,0,18,18,0,0,14,14,0,0,18,18,0,0,17,17,0,0,16,16,0,0
2016,4,443,106,196,196,0,0,15,15,0,0,16,16,0,0,17,17,0,0,22,22,0,0,24,24,0,0,16,16,0,0,17,17,0,0,17,17,0,0,17,17,0,0,17,17,0,0,8,8,0,0,10,10,0,0
2016,4,453,100,7,7,0,34,0,0,0,0,0,0,0,0,7,7,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,4,453,103,157,156,0,10,14,14,0,1,12,11,0,0,13,13,0,0,13,13,0,0,13,13,0,2,13,13,0,1,14,14,0,1,13,13,0,1,13,13,0,0,13,13,0,0,13,13,0,2,13,13,0,2
2016,4,453,105,208,206,0,14,17,17,0,1,17,16,0,0,17,17,0,2,17,16,0,5,18,18,0,2,17,17,0,0,18,18,0,0,17,17,0,0,18,18,0,1,18,18,0,2,16,16,0,1,18,18,0,0
2016,4,453,106,353,343,7,0,22,22,0,0,21,21,0,0,23,23,0,0,42,42,0,0,62,62,0,0,21,21,0,0,22,22,0,0,23,23,0,0,22,22,1,0,32,22,5,0,32,32,1,0,31,31,0,0
2016,4,453,150,21,21,1250,472,0,0,0,0,1,1,55,71,2,2,30,52,4,4,94,62,1,1,114,20,2,2,156,40,4,4,107,30,4,4,220,14,0,0,0,0,0,0,0,0,1,1,251,98,2,2,223,85
2016,4,453,209,152,152,4941,6294,12,12,410,430,10,10,332,512,13,13,380,669,14,14,541,526,12,12,342,422,13,13,453,439,14,14,350,509,13,13,409,435,13,13,400,500,12,12,360,517,13,13,465,729,13,13,499,606
2016,4,453,314,70,70,575,164,3,3,7,41,6,6,0,0,7,7,0,0,4,4,0,0,6,6,0,0,7,7,0,0,5,5,0,0,2,2,0,0,9,9,309,55,9,9,259,68,7,7,0,0,5,5,0,0
2016,5,502,100,3265,2971,12542,8003,270,245,964,679,256,237,852,676,276,248,1436,677,282,256,1116,691,288,267,783,540,286,262,960,572,271,245,980,637,265,238,1053,607,271,247,1028,720,277,255,1069,978,250,224,1147,590,273,247,1154,636
2016,5,502,103,2589,2589,8243,6081,221,221,583,398,211,211,644,397,228,228,801,519,220,220,834,571,224,224,676,406,218,218,785,458,226,226,627,513,220,220,595,387,216,216,654,488,224,224,653,603,189,189,736,786,192,192,655,555
2016,5,502,105,5346,5340,517,2613,464,462,41,134,451,451,29,139,456,454,33,245,444,444,51,279,449,449,36,181,427,427,42,191,464,463,43,212,467,466,38,287,424,424,49,278,448,448,52,248,423,423,45,170,429,429,58,249
2016,5,502,106,1149,1149,2830,2491,70,70,171,213,100,100,199,155,113,113,202,215,130,130,272,261,124,124,267,195,98,98,241,184,103,103,257,216,109,109,219,150,95,95,231,198,76,76,250,202,65,65,217,248,66,66,304,254
2016,5,502,108,1703,1702,7813,15508,146,146,632,1221,140,140,575,999,154,154,707,1406,140,140,545,1307,140,140,580,1149,140,140,626,1144,146,146,525,1267,142,141,602,1159,134,134,761,1381,142,142,761,1548,139,139,728,1452,140,140,771,1475
2016,5,502,110,575,575,15,108,49,49,0,12,45,45,0,5,49,49,0,6,47,47,7,6,49,49,0,10,47,47,1,12,49,49,2,13,48,48,0,8,47,47,0,8,49,49,2,9,47,47,2,6,49,49,1,13
2016,5,502,111,605,605,3157,4499,54,54,209,286,50,50,232,322,52,52,526,395,52,52,385,303,47,47,164,316,43,43,276,337,44,44,254,309,52,52,195,401,52,52,188,450,54,54,227,496,51,51,236,399,54,54,265,485
2016,5,502,112,370,370,3491,3310,31,31,194,198,29,29,194,218,31,31,332,264,30,30,362,247,31,31,231,187,30,30,274,171,31,31,267,217,31,31,254,290,30,30,308,253,35,35,372,704,30,30,375,303,31,31,328,258
2016,5,502,117,716,715,650,623,62,62,74,36,57,57,48,39,63,63,64,59,60,60,69,76,62,61,51,58,57,57,47,49,60,60,153,74,62,62,84,69,54,54,11,39,61,61,12,38,57,57,17,44,61,61,20,42
2016,5,502,147,366,365,1736,1278,31,31,110,98,29,29,108,114,31,31,149,110,30,30,115,80,31,31,118,91,30,30,123,115,31,31,128,88,31,31,147,96,29,29,133,119,31,31,210,138,31,30,223,126,31,31,172,103
2016,5,502,209,1,1,114,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,114,10,0,0,0,0,0,0,0,0
2016,5,502,213,154,154,1526,1177,14,14,135,78,12,12,130,120,14,14,143,110,12,12,128,90,14,14,145,94,13,13,148,101,13,13,84,110,13,13,114,83,13,13,143,79,13,13,131,109,12,12,126,110,11,11,99,93
2016,5,502,222,311,311,3852,3327,22,22,319,259,20,20,316,267,22,22,363,231,25,25,386,337,30,30,448,274,29,29,363,304,31,31,296,309,31,31,305,279,30,30,303,311,29,29,339,280,20,20,228,239,22,22,186,237
2016,5,502,224,14,12,240,104,1,1,23,0,2,2,122,0,1,1,20,0,1,1,8,0,0,0,0,0,4,3,6,0,2,2,51,32,1,0,0,0,1,1,10,0,0,0,0,0,0,0,0,0,1,1,0,72
2016,5,502,238,2,2,40,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5,502,304,2307,2051,38354,28914,211,192,2864,2185,193,173,2727,2025,206,184,3144,2452,189,168,3542,2634,193,172,3455,2503,188,166,3525,2640,190,169,3070,2450,196,173,2971,2452,187,165,3237,2505,191,170,3681,2629,177,155,3029,2196,186,164,3109,2243
2016,5,502,314,5,4,254,0,0,0,0,0,0,0,0,0,1,1,72,0,0,0,0,0,1,1,70,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,109,0,1,1,3,0,0,0,0,0
2016,5,502,549,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,5,524,103,179,179,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,18,18,0,0,21,21,0,0,23,23,0,0
2016,5,524,105,930,923,0,11,93,92,0,0,98,97,0,0,89,89,0,0,78,76,0,0,83,83,0,0,81,81,0,2,85,84,0,0,93,92,0,0,63,63,0,7,58,57,0,2,54,54,0,0,55,55,0,0
2016,5,524,106,210,210,1,104,18,18,1,9,16,16,0,9,18,18,0,12,17,17,0,8,19,19,0,6,16,16,0,10,18,18,0,9,17,17,0,7,16,16,0,9,17,17,0,10,17,17,0,7,21,21,0,8
2016,5,910,100,53,43,0,0,9,8,0,0,24,21,0,0,4,2,0,0,0,0,0,0,2,2,0,0,9,5,0,0,2,2,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0
2016,6,605,100,78,17,0,0,32,1,0,0,30,0,0,0,2,2,0,0,2,2,0,0,0,0,0,0,3,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,2,0,0,3,3,0,0,2,2,0,0
2016,6,605,103,7463,7462,10504,10587,622,622,882,735,595,595,780,845,619,619,1006,976,541,541,668,807,465,465,767,792,491,491,806,778,593,593,884,702,630,630,760,700,690,690,760,700,709,709,915,1021,729,728,1095,1300,779,779,1181,1231
2016,6,605,105,2686,2684,564,1137,246,246,42,69,234,234,38,67,244,244,48,110,250,250,44,93,228,227,47,72,216,215,53,77,205,205,44,109,216,216,53,123,209,209,53,123,212,212,48,92,210,210,45,93,216,216,49,109
2016,6,605,106,1918,1916,5382,7641,132,132,443,508,167,167,360,514,176,176,370,568,182,182,448,587,169,169,419,499,166,166,423,649,173,173,464,622,176,176,439,514,168,167,439,514,139,139,506,857,133,132,515,898,137,137,556,911
2016,6,605,108,1498,1498,2741,5353,124,124,306,314,117,117,250,344,125,125,298,455,119,119,261,606,125,125,222,477,116,116,213,442,124,124,204,396,122,122,190,338,131,131,190,338,136,136,198,572,127,127,187,537,132,132,222,534
2016,6,605,110,288,288,35,36,29,29,2,2,26,26,2,4,25,25,3,3,17,17,3,3,18,18,2,2,17,17,4,3,18,18,4,5,26,26,2,3,26,26,2,3,29,29,3,2,29,29,4,3,28,28,4,3
2016,6,605,111,368,368,1029,3926,32,32,76,322,29,29,73,322,31,31,111,357,30,30,69,314,31,31,81,246,30,30,80,286,31,31,86,344,31,31,67,339,30,30,67,339,31,31,100,355,30,30,106,320,32,32,113,382
2016,6,605,112,617,617,2363,2999,62,62,189,185,58,58,177,210,62,62,149,268,60,60,167,253,59,59,166,245,51,51,223,250,62,62,236,201,58,58,193,252,52,52,193,252,32,32,223,295,30,30,235,287,31,31,212,301
2016,6,605,117,513,513,169,377,44,44,10,19,41,41,11,17,45,45,13,20,43,43,9,17,45,45,12,24,43,43,17,29,44,44,18,33,44,44,13,33,42,42,13,33,40,40,13,49,39,39,16,49,43,43,24,54
2016,6,605,129,155,155,38,8,0,0,0,0,0,0,0,0,4,4,0,0,16,16,5,0,18,18,6,0,16,16,4,0,18,18,4,0,17,17,4,0,13,13,4,0,16,16,5,3,15,15,2,0,22,22,4,5
2016,6,605,207,1,1,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,605,222,66,66,464,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,86,75,12,12,95,110,14,14,113,102,13,13,69,111,13,13,69,111,4,4,32,45,0,0,0,0,0,0,0,0
2016,6,605,304,638,638,1738,171,54,54,120,15,50,50,112,13,53,53,88,7,51,51,81,2,53,53,123,1,52,52,123,3,53,53,177,7,62,62,204,14,52,52,204,14,53,53,193,42,51,51,165,23,54,54,148,30
2016,6,606,100,54,53,1017,75,3,3,60,0,3,3,57,0,4,4,89,0,5,5,60,0,4,4,99,0,4,4,90,0,5,5,114,2,3,3,85,1,4,4,63,0,7,6,88,1,7,7,102,64,5,5,110,7
2016,6,606,103,47,47,3,375,1,1,3,90,1,1,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,90,0,0,0,0,44,44,0,103
2016,6,606,105,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,8,0,0,9,9,0,0
2016,6,606,112,1,1,0,105,0,0,0,0,0,0,0,0,1,1,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,606,228,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,606,304,6,6,0,545,2,2,0,189,2,2,0,171,0,0,0,0,1,1,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,99,0,0,0,0,0,0,0,0,0,0,0,0
2016,6,661,103,210,210,0,0,28,28,0,0,31,31,0,0,18,18,0,0,11,11,0,0,0,0,0,0,17,17,0,0,17,17,0,0,18,18,0,0,17,17,0,0,18,18,0,0,17,17,0,0,18,18,0,0
2016,6,671,103,160,160,0,0,14,14,0,0,12,12,0,0,13,13,0,0,12,12,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,18,18,0,0
2016,6,671,106,142,142,0,0,12,12,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,11,11,0,0,11,11,0,0,14,14,0,0,11,11,0,0,13,13,0,0,9,9,0,0,9,9,0,0
2016,6,671,108,105,105,0,0,9,9,0,0,8,8,0,0,9,9,0,0,9,9,0,0,8,8,0,0,9,9,0,0,9,9,0,0,9,9,0,0,8,8,0,0,9,9,0,0,9,9,0,0,9,9,0,0
2016,7,704,103,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,17,17,0,0,17,17,0,0
2016,7,704,105,107,107,27,0,7,7,3,0,11,11,0,0,8,8,5,0,9,9,3,0,9,9,3,0,8,8,0,0,9,9,1,0,9,9,1,0,9,9,2,0,10,10,2,0,9,9,5,0,9,9,2,0
2016,7,730,103,144,144,0,0,13,13,0,0,12,12,0,0,13,13,0,0,12,12,0,0,0,0,0,0,12,12,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,17,17,0,0
2016,7,730,105,157,157,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,13,13,0,0,14,14,0,0,12,12,0,0,14,14,0,0,13,13,0,0,13,13,0,0
2016,7,744,103,43,43,0,0,13,13,0,0,12,12,0,0,13,13,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,744,106,117,117,0,0,13,13,0,0,12,12,0,0,13,13,0,0,7,7,0,0,0,0,0,0,12,12,0,0,9,9,0,0,10,10,0,0,9,9,0,0,9,9,0,0,13,13,0,0,10,10,0,0
2016,7,744,108,31,31,0,0,9,9,0,0,9,9,0,0,8,8,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,7,752,100,7,7,0,2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0
